citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
97,533903362,善行坂北周辺,87,109.0,402.925627292962,228.28732398331707,358.7484680467623,353.32832660958104,420.1998631933461,514.9574506553506
98,523973783,小田急ショップ前周辺,835,549.0,255.60192905078944,231.95968666923258,333.8585115423075,184.37338967875215,195.39338178442367,285.37510551742247
99,533903474,善行台周辺,150,69.0,470.2286161585703,427.34405218530867,632.0513072352758,585.3587415890612,510.7883522512286,585.7085392360168
<NA>,523973681,江ノ島周辺,25,33.99999999999999,317.8256670520808,161.30245038357836,178.15512884268094,952.205796623996,961.2578802469303,1055.3921960897987
<NA>,523973682,江ノ島周辺,75,50.00000000000001,257.9568874562816,137.8290791385077,161.4079994936355,778.2881728860181,989.7518293751511,1054.6820001099047
<NA>,523973791,竜口寺周辺,79,825.0000000000001,127.37339086264791,112.43376006141341,152.19975948547705,94.19648162650513,111.25152548512247,154.76651487191322
<NA>,523973794,目白山周辺,16,663.0,322.3947396406908,49.57131055198344,78.2201685498321,495.99250533852506,261.1081893774061,304.78292546363724
<NA>,523973892,片瀬山周辺,377,634.0,289.2660012586291,158.94730431276471,247.72340180630908,274.95509304678677,159.2374056007897,249.3074404568661
<NA>,523973951,辻堂団地周辺,338,686.0,303.8934646377682,209.09227622433,325.89999393746643,319.0938818930683,252.83234237442537,379.2646752123406
<NA>,523973953,久根下公園前周辺,203,761.0,617.4262443269955,404.11462019650247,457.9868810101185,377.4994676987105,251.21864084447563,407.6889388463551
<NA>,523974903,御霊神社前周辺,66,428.0,402.8070834656366,286.37002287281456,386.44384373110904,336.2747653276665,484.27009184454164,632.1330963300359
<NA>,533903051,辻堂周辺,55,636.9999999999999,505.4270324688314,391.6483197892895,467.13412903822103,301.2731158495139,128.047463530032,161.10189062266133
<NA>,533903151,二ツ谷周辺,136,789.0000000000001,367.2314695985888,161.6772847783901,208.4376406185689,477.4463571158382,307.734914762939,373.20649037406815
<NA>,533903153,城南周辺,69,335.0,376.65678442985495,195.31243130003193,239.3797961980205,165.7169464300295,163.6384632736176,216.4325192497585
<NA>,533903342,羽根沢周辺,39,40.99999999999999,696.1319853936669,396.6039792888806,430.23903624390226,792.8146662975802,494.56884002333186,528.5574110307914
<NA>,533903344,南大平周辺,26,162.0,459.13944999874946,321.66954615605084,348.6877168556861,532.5627764000627,408.38346356725924,433.1348814189101
<NA>,533903391,緑ヶ丘周辺,14,199.0,556.5961090045288,325.99862084421034,341.86676478890536,907.3968332149553,669.2793121836846,757.6001304653643
<NA>,533903441,大辻周辺,64,139.00000000000003,250.16690157631038,120.16911230074396,209.237917486493,581.7995572342408,360.1312257981989,387.07657515926024
<NA>,533903443,小出一本松周辺,200,464.0,193.76535134447946,126.77605905791019,208.09156815627503,214.90232634599224,203.99990670116514,306.0632145658117
<NA>,533903451,滝の沢小学校前周辺,365,1095.0,307.5725856726599,176.52311924473295,304.9114605684407,275.7042949974157,231.66421059151955,304.2273855506739
<NA>,533903524,堂の前周辺,30,8.0,597.886152412516,560.3067892377956,608.6174493409952,457.42902616163815,305.76417334670964,348.4968413922358
<NA>,533903541,小出一本松周辺,28,235.00000000000003,468.5215049573409,230.01272818975016,252.03255344524732,425.68914492856254,209.52302806955973,269.5681778432518
<NA>,533903543,刈込周辺,4,27.999999999999996,430.1864488984924,205.01846886913032,220.85409294024052,517.6627759185109,279.5673883671928,292.5110312544635
<NA>,533903593,西俣野周辺,11,69.0,348.16571825494356,182.1896315023816,242.26551579719862,910.8653138278684,643.9028171001056,657.7748778364471
<NA>,533903612,獺郷周辺,3,240.0,771.6034348342025,607.475461827302,611.7589415022481,971.3549926137212,688.1998151270095,690.6322923325223
<NA>,533903684,雲昌寺周辺,45,41.0,755.272861185345,477.86171360566624,526.9399364673694,898.2865353227651,771.5950061033549,836.1289641946772
<NA>,533903783,今田上原周辺,169,273.0,479.97530531174317,286.94059345468776,386.2490524228584,515.2035499403422,307.66814304178973,382.66591739105445
<NA>,533903812,宮原周辺,4,6.999999999999999,1174.099183807073,1058.0545762717613,1072.09952431518,1235.1454660254153,1191.9593897232917,1202.4053952203944
