mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
533512362,258.9367149816918,266.49616743444915,368.52511569781,210.53447861042838,202.02641807759892,306.2770336228572,1.0,1.0,490,490,147.8574957551451,186.95854804084075,184.8493696556266,295.4350232011382,39.10105228569566,94.6420960277846,134.0752249657183,130.64990564119014,212.45600445556852,39.4331289379337,186.95854804084075,184.8493696556266,295.4350232011382,134.07522496571832,130.64990564119014,212.45600445556852,490,1074.0,320.0,270,東田辺周辺,71.97816694085105,76.45925364471009,1.384995324873445,1.5702713060094433,available
533512363,254.10096572228792,244.13610745596364,390.84515887866337,265.30141876802793,254.10736419362968,378.0028956120296,1.0,1.0,458,458,62.73342482680828,190.7270769305915,184.0704284929049,301.48325079615825,127.99365210378318,176.1061818370378,175.11757542152563,157.17824796888985,287.60214014352886,-0.98860641551218,190.7270769305915,184.0704284929049,301.48325079615825,175.1175754215256,157.17824796888985,287.60214014352886,458,895.0,334.0,273,本町周辺,63.37388879169643,90.1838433465023,1.332275258508571,1.5149902465781673,available
533512364,319.2014833529424,321.47611692862336,418.7969839457891,443.89514659604777,479.68307595577943,561.8014854253853,1.0,1.0,330,330,325.3254761812133,238.24429141721697,246.70534381186155,318.0223286012473,-87.0811847639963,323.0638596656908,301.4655427153868,300.38610420534604,432.3250615808941,-21.598316950303968,238.244291417217,246.70534381186155,318.0223286012473,301.46554271538685,300.38610420534604,432.3250615808941,330,701.0,206.0,188,東田辺周辺,80.9571919357254,142.42960388066098,1.3398074785093255,1.4724573249657542,available
533512371,200.92369770977885,181.30631893145622,319.60277580837715,303.0728261708241,341.1939240591225,462.6118056233299,1.0,1.0,251,251,170.096794129985,137.0911148042643,129.19784203701374,244.503761509962,-33.005679325720735,142.86127321770732,201.48630087766355,214.52095397026827,328.43752201468226,58.62502765995623,137.0911148042643,129.19784203701374,244.503761509962,201.48630087766355,214.52095397026827,328.43752201468226,251,561.0,256.0,250,倉谷西周辺,63.832582905514556,101.58652529316055,1.4656215904046979,1.5041857677204609,available
533512372,290.67802828779196,274.595030725873,422.11465786589366,816.1516531019545,853.9198691019924,1012.9134139324484,1.0,1.0,255,255,262.7081776272447,214.22065715504868,210.71646717236163,324.276626489274,-48.48752047219602,653.2793652516577,680.8189213550855,714.4947158577775,856.2342465176825,27.5395561034278,214.2206571550487,210.71646717236163,324.276626489274,680.8189213550856,714.4947158577775,856.2342465176825,255,603.0,127.0,158,福来西周辺,76.45737113274328,135.33273174686894,1.356909422966642,1.198779333978418,available
533512373,340.5752836125752,326.9731217184025,541.2042930322992,311.44392570784817,323.85979392043174,470.5271232799333,1.0,1.0,532,532,309.7559248791224,222.6693511141725,217.33846813006724,319.33376621846105,-87.08657376494986,206.12923173719253,183.0873115191464,185.466982222439,295.8943608432583,-23.04192021804616,222.66935111417257,217.33846813006724,319.33376621846105,183.0873115191464,185.466982222439,295.8943608432583,532,1059.0,329.0,218,倉谷西周辺,117.9059324984027,128.35661418870177,1.5295112771849193,1.7010677753891146,available
533512374,282.5906843541912,263.40512968484546,462.3664815603335,714.571983187101,750.7094261345604,958.514028007297,1.0,1.0,353,353,240.75460785975255,197.8420745783717,188.25351105596337,313.1689301202715,-42.91253328138092,468.4086440630451,490.44117774906056,485.700123261699,681.4189123437222,22.032533686015483,197.8420745783717,188.25351105596337,313.1689301202715,490.4411777490606,485.700123261699,681.4189123437222,353,740.0,237.0,187,福来西周辺,84.74860977581949,224.1308054380404,1.428364946922591,1.4569983427303475,available
533512381,607.2933948721409,614.1950400694776,783.2191686729706,1237.774860318811,1245.777949425831,1414.8020780293236,1.0,1.0,143,143,510.1563674317789,448.80958572630846,471.0113191868937,533.3629677981316,-61.34678170547039,933.306133366616,997.7564773147316,1010.087018377051,1087.14815100714,64.45034394811535,448.80958572630857,471.0113191868937,533.3629677981316,997.7564773147318,1010.087018377051,1087.14815100714,143,262.0,78.00000000000001,81,福来東周辺,158.48380914583242,240.0183830040795,1.353120374845288,1.2405580805148393,available
533512383,215.60282390738166,217.09753354674874,295.1517780974407,586.2950450879894,573.1746350493405,874.6969360210119,1.0,1.0,193,193,207.8569349716477,155.79757651090208,151.9324015188487,219.4539587396281,-52.05935846074564,496.79992595009793,494.8680913266785,496.7951278278397,774.882488675811,-1.9318346234194337,155.7975765109021,151.9324015188487,219.4539587396281,494.8680913266784,496.7951278278397,774.882488675811,193,386.0,98.0,205,福来東周辺,59.80524739647959,91.42695376131087,1.38386506860904,1.1847501493099035,available
533512384,480.97344063948515,500.7087587085093,532.0625607777707,558.461766369022,587.4399137105546,641.1550049402008,1.0,1.0,17,17,532.8445937659077,425.8744127600246,443.8139602890839,491.459863534329,-106.97018100588308,491.6798802331391,394.6108613664858,418.4272760270626,471.9695534476856,-97.06901886665328,425.8744127600246,443.8139602890839,491.459863534329,394.61086136648566,418.4272760270626,471.9695534476856,17,22.000000000000004,15.000000000000002,202,昭和台周辺,55.09902787946055,163.85090500253625,1.1293785825787759,1.4152214777746919,available
