mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533512441,548.9209169499675,514.4927198085113,528.6368066172681,639.2228237189673,-34.42819714145617,1314.484403856397,1225.0877057162406,1225.070896523958,1280.7845921366586,-89.39669814015633,514.4927198085114,528.6368066172681,639.2228237189673,1225.0877057162406,1225.070896523958,1280.7845921366586,54,97.99999999999999,41.0,57,福井小学校口周辺
533512442,437.822141726399,684.5082298325245,683.8583236192825,695.2584387656968,246.6860881061255,754.5484830119393,997.6939596731174,983.3965235893419,1046.2159594925308,243.14547666117812,684.5082298325245,683.8583236192825,695.2584387656968,997.6939596731175,983.3965235893419,1046.2159594925308,9,20.0,8.0,223,下福井周辺
533512443,972.9348813705788,809.7048701082748,782.4549672950521,976.3545415176839,-163.23001126230395,1445.6442154317745,1170.1922995303355,1163.756426599083,1229.1029421051276,-275.45191590143895,809.7048701082748,782.4549672950521,976.3545415176839,1170.1922995303355,1163.756426599083,1229.1029421051276,49,50.0,15.999999999999998,77,福井小学校口周辺
533512444,835.6845590971143,915.6064152688908,932.8376950531305,1033.0527923801512,79.92185617177654,965.1014324802917,1135.7357378442878,1140.2569366110686,1222.3891665964977,170.63430536399608,915.6064152688912,932.8376950531305,1033.0527923801512,1135.7357378442875,1140.2569366110686,1222.3891665964977,70,152.0,15.0,119,下福井周辺
533512461,140.20193080394685,124.18631360274108,121.16608196606218,202.41802579970283,-16.01561720120577,251.2269619320982,185.07569125761623,185.60572788646553,301.3415161157238,-66.15127067448196,124.18631360274107,121.16608196606218,202.41802579970283,185.07569125761626,185.60572788646553,301.3415161157238,551,1026.0,385.0,245,平野屋周辺
533512463,18.258176453928733,114.12751264656177,96.14573412022162,202.3168597414744,95.86933619263303,544.1271258511263,536.2822880165987,553.1875333168496,682.9471155394816,-7.844837834527539,114.12751264656174,96.14573412022162,202.3168597414744,536.2822880165986,553.1875333168496,682.9471155394816,326,566.0,273.99999999999994,279,吉原小学校前周辺
533512471,250.53001573661703,137.9748588883075,134.30326248222994,235.38158939900006,-112.55515684830954,299.64104827144797,242.3215753655171,205.749601709595,406.67296872802143,-57.319472905930866,137.97485888830747,134.30326248222994,235.38158939900006,242.32157536551708,205.749601709595,406.67296872802143,74,448.0,75.0,229,倉谷口周辺
533512472,59.59801626920296,124.89255890487428,122.90471364081831,188.3966385649324,65.29454263567132,437.2520816462997,400.6883337613739,419.33453567097837,505.2575103355564,-36.56374788492582,124.89255890487426,122.90471364081831,188.3966385649324,400.6883337613738,419.33453567097837,505.2575103355564,191,226.0,101.0,268,上安周辺
533512473,643.229235982327,545.1895544933731,543.3401785249009,653.7614595870963,-98.03968148895399,379.0427431498539,174.14577317026698,179.03937172555516,227.74284376076716,-204.8969699795869,545.189554493373,543.3401785249009,653.7614595870963,174.14577317026692,179.03937172555516,227.74284376076716,61,156.99999999999997,47.999999999999986,164,倉谷口周辺
533512474,407.3977676720435,231.80414848925443,188.88014016509152,307.9738617267161,-175.5936191827891,207.4698632698153,410.92272031977177,446.73427477770997,457.80436713530173,203.45285704995646,231.8041484892545,188.88014016509152,307.9738617267161,410.9227203197717,446.73427477770997,457.80436713530173,15,100.0,83.0,219,五老トンネル西口周辺
